filename,rating_1,rating_2
25_1_0_20170117134403373.jpg.chip.jpg,3,3
25_1_0_20170117195321747.jpg.chip.jpg,2,3
24_1_0_20170103180635111.jpg.chip.jpg,4,5
26_1_0_20170117174906552.jpg.chip.jpg,3,3
26_1_0_20170117174358903.jpg.chip.jpg,3,3
24_1_0_20170109132509565.jpg.chip.jpg,1,1
25_1_0_20170117151946851.jpg.chip.jpg,1,1
25_1_0_20170117195358981.jpg.chip.jpg,2,2
24_1_0_20170119170930694.jpg.chip.jpg,2,1
25_1_0_20170117143916425.jpg.chip.jpg,2,2
25_1_0_20170103180606727.jpg.chip.jpg,2,1
24_1_0_20170117150424339.jpg.chip.jpg,3,3
25_1_0_20170117152038451.jpg.chip.jpg,3,5
27_1_0_20170105000743720.jpg.chip.jpg,3,3
25_1_0_20170117204147750.jpg.chip.jpg,5,5
26_1_0_20170104235427939.jpg.chip.jpg,2,1
24_1_0_20170116214453175.jpg.chip.jpg,1,1
25_1_0_20170116223859777.jpg.chip.jpg,4,4
24_1_0_20170103180642496.jpg.chip.jpg,2,2
25_1_0_20170117141719089.jpg.chip.jpg,3,3
24_1_0_20170105183641479.jpg.chip.jpg,2,1
26_1_0_20170103181940954.jpg.chip.jpg,3,3
26_1_0_20170105163517523.jpg.chip.jpg,2,2
26_1_0_20170117201947511.jpg.chip.jpg,4,2
25_1_0_20170103175619551.jpg.chip.jpg,2,3
27_1_0_20170117150919860.jpg.chip.jpg,2,3
25_1_0_20170116165420657.jpg.chip.jpg,2,2
25_1_0_20170117140138784.jpg.chip.jpg,1,1
25_1_0_20170117195324293.jpg.chip.jpg,3,2
26_1_0_20170116220831323.jpg.chip.jpg,2,2
27_1_0_20170116221836595.jpg.chip.jpg,1,1
24_1_0_20170117194613108.jpg.chip.jpg,3,3
26_1_0_20170116153823864.jpg.chip.jpg,3,2
27_1_0_20170116220503099.jpg.chip.jpg,1,3
26_1_0_20170113012122280.jpg.chip.jpg,4,4
25_1_0_20170103175643807.jpg.chip.jpg,1,1
26_1_0_20170117174903560.jpg.chip.jpg,1,1
27_1_0_20170117120646100.jpg.chip.jpg,3,3
26_1_0_20170117105735230.jpg.chip.jpg,2,3
26_1_0_20170103180546928.jpg.chip.jpg,2,1
24_1_0_20170119211426377.jpg.chip.jpg,3,3
26_1_0_20170117171130618.jpg.chip.jpg,2,2
27_1_0_20170117142744825.jpg.chip.jpg,4,4
24_1_0_20170104234820025.jpg.chip.jpg,4,3
26_1_0_20170117200909070.jpg.chip.jpg,5,4
26_1_0_20170117091820820.jpg.chip.jpg,2,3
24_1_0_20170105183749799.jpg.chip.jpg,3,1
26_1_0_20170117201924879.jpg.chip.jpg,2,3
25_1_0_20170103163718321.jpg.chip.jpg,1,1
24_1_0_20170116225049260.jpg.chip.jpg,2,2
27_1_0_20170103180554504.jpg.chip.jpg,1,1
25_1_0_20170116223848612.jpg.chip.jpg,2,2
27_1_0_20170114030815179.jpg.chip.jpg,1,1
26_1_0_20170113180707130.jpg.chip.jpg,3,3
26_1_0_20170103181326336.jpg.chip.jpg,3,2
24_1_0_20170117194653203.jpg.chip.jpg,1,2
24_1_0_20170105162704533.jpg.chip.jpg,1,1
24_1_0_20170117150815148.jpg.chip.jpg,3,3
26_1_0_20170117173648397.jpg.chip.jpg,3,3
25_1_0_20170117145120563.jpg.chip.jpg,3,1
24_1_0_20170103163127424.jpg.chip.jpg,3,2
26_1_0_20170117153211341.jpg.chip.jpg,3,1
25_1_0_20170117141803697.jpg.chip.jpg,2,1
26_1_0_20170116235045805.jpg.chip.jpg,2,2
25_1_0_20170119163307644.jpg.chip.jpg,4,5
25_1_0_20170116201701430.jpg.chip.jpg,5,5
25_1_0_20170117203811656.jpg.chip.jpg,2,3
26_1_0_20170117200248981.jpg.chip.jpg,4,4
